"","wmon","membership_start","membership_end","fmisid","station_name","station_start","sattion_end","loc_id","loc_start","loc_end","h","lon","lat","lsm","z_oro","lsm_41r2","z_oro_41r2","lpnn"
"54",1078,1700-01-01,9999-12-31,126780,"Slettnes Fyr","1700-01-01 00:00:00","9999-12-31 00:00:00",29440,"1700-01-01 00:00:00","9999-12-31 00:00:00",8,28.21733,71.08366,8.6,66.36,33.1,65.11,NA
"55",1082,1700-01-01,9999-12-31,154011,"Nyrud","1700-01-01 00:00:00","9999-12-31 00:00:00",41249,"1700-01-01 00:00:00","9999-12-31 00:00:00",56,29.24388,69.14694,100,124.65,100,115.22,NA
"56",1083,1700-01-01,9999-12-31,113940,"Berlevag","1700-01-01 00:00:00","9999-12-31 00:00:00",11924,"1700-01-01 00:00:00","9999-12-31 00:00:00",13,29.03472,70.87083,3.3,72.84,73.2,81.15,NA
"57",1084,1700-01-01,9999-12-31,132107,"Pasvik-Svanvik","1700-01-01 00:00:00","9999-12-31 00:00:00",32343,"1700-01-01 00:00:00","9999-12-31 00:00:00",27,30.04111,69.45527,100,93.57,100,87.58,NA
"58",1086,1700-01-01,9999-12-31,132073,"Baatsfjord Lufthavn","1700-01-01 00:00:00","9999-12-31 00:00:00",32327,"1700-01-01 00:00:00","9999-12-31 00:00:00",152,29.7,70.60277,100,243.54,100,268.88,NA
"59",1088,1700-01-01,9999-12-31,113941,"Vadso","1700-01-01 00:00:00","9999-12-31 00:00:00",11925,"1700-01-01 00:00:00","9999-12-31 00:00:00",39,29.83527,70.06527,52.2,88.29,52.2,65.77,NA
"60",1089,1700-01-01,9999-12-31,113942,"Kirkenes","1700-01-01 00:00:00","9999-12-31 00:00:00",11926,"1700-01-01 00:00:00","9999-12-31 00:00:00",89,29.8975,69.72527,100,94.61,100,93.18,NA
"62",1092,1700-01-01,9999-12-31,113943,"Makkaur Lh","1700-01-01 00:00:00","9999-12-31 00:00:00",11927,"1700-01-01 00:00:00","9999-12-31 00:00:00",9,30.06733,70.70016,39.9,82.43,39.9,95.38,NA
"63",1098,1700-01-01,9999-12-31,113944,"Vardo","1700-01-01 00:00:00","9999-12-31 00:00:00",11928,"1700-01-01 00:00:00","9999-12-31 00:00:00",14,31.09888,70.37055,0,30.68,20.2,27.9,NA
"64",1099,1700-01-01,9999-12-31,132074,"Vardoe Lufthavn","1700-01-01 00:00:00","9999-12-31 00:00:00",32329,"1700-01-01 00:00:00","9999-12-31 00:00:00",12,31.04388,70.35444,0,40.68,54.2,38.71,NA
"65",1102,1700-01-01,9999-12-31,113945,"Sklinna Lh","1700-01-01 00:00:00","9999-12-31 00:00:00",11929,"1700-01-01 00:00:00","9999-12-31 00:00:00",23,10.99638,65.20222,0,0.71,0,1.16,NA
"68",1105,1700-01-01,9999-12-31,113957,"Rotvaer","1700-01-01 00:00:00","9999-12-31 00:00:00",11941,"1700-01-01 00:00:00","9999-12-31 00:00:00",8,15.94277,68.36777,0,99.88,0,58.75,NA
"70",1107,1700-01-01,9999-12-31,113948,"Rost Ap","1700-01-01 00:00:00","9999-12-31 00:00:00",11932,"1700-01-01 00:00:00","9999-12-31 00:00:00",4,12.10361,67.52666,0,0.72,0,-0.44,NA
"71",1108,1700-01-01,9999-12-31,113949,"Vega-Vallsjo","1700-01-01 00:00:00","9999-12-31 00:00:00",11933,"1700-01-01 00:00:00","9999-12-31 00:00:00",4,11.85694,65.70194,0,11.33,0,21.17,NA
"72",1112,1700-01-01,9999-12-31,113950,"Bronnoysund/Bronnoy","1700-01-01 00:00:00","9999-12-31 00:00:00",11934,"1700-01-01 00:00:00","9999-12-31 00:00:00",9,12.21805,65.45666,0,85.19,34.7,59.46,NA
"74",1114,1700-01-01,9999-12-31,113958,"Reipa","1700-01-01 00:00:00","9999-12-31 00:00:00",11942,"1700-01-01 00:00:00","9999-12-31 00:00:00",9,13.64583,66.90333,12.9,85.12,12.9,78.33,NA
"75",1115,1700-01-01,9999-12-31,113952,"Myken","1700-01-01 00:00:00","9999-12-31 00:00:00",11936,"1700-01-01 00:00:00","9999-12-31 00:00:00",17,12.48583,66.76277,0,1.15,0,-1.71,NA
"76",1116,1700-01-01,9999-12-31,113953,"Sandnessjoen/Stokka","1700-01-01 00:00:00","9999-12-31 00:00:00",11937,"1700-01-01 00:00:00","9999-12-31 00:00:00",17,12.47138,65.96055,0,108.54,0,90.35,NA
"77",1117,1700-01-01,9999-12-31,113954,"Tjotta","1700-01-01 00:00:00","9999-12-31 00:00:00",11938,"1700-01-01 00:00:00","9999-12-31 00:00:00",21,12.43138,65.82694,0,112.99,17.3,109.4,NA
"78",1121,1700-01-01,9999-12-31,113959,"Solvaer Iii","1700-01-01 00:00:00","9999-12-31 00:00:00",11943,"1700-01-01 00:00:00","9999-12-31 00:00:00",10,12.61055,66.37055,0,6.64,0,6.89,NA
"79",1122,1700-01-01,9999-12-31,113960,"Mosjoen Ap","1700-01-01 00:00:00","9999-12-31 00:00:00",11947,"1700-01-01 00:00:00","9999-12-31 00:00:00",72,13.21777,65.78416,100,383.26,100,377.82,NA
"80",1124,1700-01-01,9999-12-31,132437,"Kjobli I Snasa","1700-01-01 00:00:00","9999-12-31 00:00:00",32411,"1700-01-01 00:00:00","9999-12-31 00:00:00",195,12.46916,64.15861,100,431.72,100,450,NA
"81",1132,1700-01-01,9999-12-31,113964,"Majavatn V","1700-01-01 00:00:00","9999-12-31 00:00:00",11952,"1700-01-01 00:00:00","9999-12-31 00:00:00",319,13.36666,65.16611,100,570.97,100,545.19,NA
"82",1133,1700-01-01,9999-12-31,135652,"Laksfors","1700-01-01 00:00:00","9999-12-31 00:00:00",33515,"1700-01-01 00:00:00","9999-12-31 00:00:00",50,13.28916,65.62138,100,469.66,100,445.42,NA
"84",1135,1700-01-01,9999-12-31,135650,"Seljelia","1700-01-01 00:00:00","9999-12-31 00:00:00",33514,"1700-01-01 00:00:00","9999-12-31 00:00:00",126,13.58666,66.13166,100,312.11,100,291.64,NA
